Card,Cost,Power,Card Ability
Abomination,5,9,No Ability
Absorbing Man,4,5,"On Reveal, If the last card you played has an On Reveal ability, this card copies it."
Adam Warlock,2,0,"At the end of each turn, if you are winning this location, draw a card."
Aero,5,8,On Reveal: Move the last enemy card played this turn to this location.
Agatha Harkness,6,14,Agatha starts in your hand and plays your cards for you.
Agent 13,1,2,On Reveal: Add a random card to your hand.
Agent Coulson,3,4,On Reveal: Add a random four-cost and five-cost card to your hand.
Alioth,6,5,On Reveal: Destroy ALL enemy cards played here this turn. (including unrevealed cards)
America Chavez,6,9,Starts on the bottom of your deck. Draw this on turn 6.
Angel,1,2,"When one of your cards is destroyed, this flies out of your deck to replace it."
Angela,2,0,"When you play a card here, +2 Power."
Ant-Man,1,1,"Ongoing: If you have three other cards here, +3 Power."
Apocalypse,6,8,"When you discard this from your hand, put it back with +4 Power."
Armor,2,3,Ongoing: Cards at this location can’t be destroyed.
Arnim Zola,6,0,On Reveal: Destroy a random friendly card here; add copies of it to the other locations.
Attuma,4,10,"If you have another card here at the end of your turn, destroy this."
Baron Mordo,2,3,On Reveal: Your opponent draws a card. Set its Cost to 6.
Bast,1,1,On Reveal: Set the Power of all cards in your hand to 3.
Beast,3,4,On Reveal: Return your other cards at this location to your hand. They cost one less.
Bishop,3,1,"When you play a card, this gains +1 Power."
Black Bolt,5,7,On Reveal: Discard the lowest-cost card from your opponent’s hand.
Black Cat,3,7,"If this is in your hand at the end of your turn, discard it."
Black Knight,1,2,"After you discard a card, add the Ebony Blade to your hand with that card’s Power. (once per game)"
Black Panther,5,4,On Reveal: Double this card’s Power.
Black Widow,2,1,On Reveal: Add a Widow’s Bite to your opponent’s hand.
Blade,1,3,On Reveal: Discard a card from your hand.
Blue Marvel,5,3,Ongoing: Your other cards have +1 Power.
Brood,3,2,On Reveal: Add two Broodlings to this location with the same Power.
Bucky Barnes,2,1,"When this is destroyed, replace it with the Winter Soldier."
Cable,2,2,On Reveal: Put the bottom card of your opponent’s deck into your hand.
Captain America,3,3,Ongoing: Your other cards at this location have +1 Power.
Captain Marvel,4,5,"At the end of the game, move to a location that wins you the game. (If possible)"
Carnage,2,2,On Reveal: Destroy your other cards here. +2 Power for each destroyed.
Cerebro,3,0,Ongoing: Your highest power cards get +2 Power.
Cloak,2,4,"On Reveal: Next turn, both players can move cards to this location."
Colleen Wing,2,4,On Reveal: Discard the lowest-cost card from your hand.
Colossus,2,3,"Ongoing: Can’t be destroyed, moved, or have its power reduced."
Cosmo,3,3,"Ongoing: On Reveal, Abilities won’t happen at this location."
Crossbones,4,8,You can only play this at locations where you are winning.
Crystal,4,4,On Reveal: Each player draws a card.
Cyclops,3,4,No Ability
Dagger,2,2,"When this moves to a location, +2 Power for each card your opponent has there."
Daken,3,4,On Reveal: Add the Muramasa Shard to your hand.
Daredevil,2,2,"On turn 5, you get to see your opponent’s plays before you make your own."
Darkhawk,4,0,Ongoing: + 2 Power for each card in your opponent’s deck.
Dazzler,3,2,Ongoing: +2 Power for each location that’s full on your side.
Deadpool,1,1,"When this card is destroyed, return it to your hand with double the power."
Death,8,12,Cost one less for each card destroyed this game.
Deathlok,3,5,On Reveal: Destroy your other cards at this location.
Debrii,3,3,"On Reveal: Add a Rock to each other location, for both players."
Destroyer,6,15,On Reveal: Destroy your other cards.
Devil Dinosaur,5,3,Ongoing: +2 Power for each card in your hand.
Doctor Doom,6,5,On Reveal: Add a four-Power Doombot to each other location.
Doctor Octopus,5,10,On Reveal: Pull four random cards from your opponent’s hand to their side of this location.
Doctor Strange,3,3,On Reveal: Move your highest power cards to this location.
Domino,2,3,"You always draw this card on turn two, and not before."
Dracula,4,0,"After the final turn, discard a card from your hand. This has its Power."
Drax,4,6,"On Reveal: If your opponent played a card here this turn, +2 Power."
Ebony Maw,1,7,You can’t play this after turn three. Ongoing: You can’t play cards here.
Echo,1,2,"After your opponent plays an Ongoing card here, remove its abilities."
Electro,3,2,On Reveal: +1 Max Energy. Ongoing: You can only play one card a turn.
Elektra,1,1,On Reveal: Destroy a random enemy one-cost card at this location.
Elsa Bloodstone,2,2,"If you play another card to fill a location, give it +3 Power."
Enchantress,4,5,On Reveal: Remove the abilities from all Ongoing cards at this location.
Evolved Abomination,5,9,Costs 1 less for each enemy card in play that’s afflicted with negative Power.
Evolved Cyclops,3,4,"When you end a turn with unspent Energy, afflict 2 random enemies here with -1 Power."
Evolved Hulk,6,12,"When you end a turn with unspent Energy, +2 Power. (if in hand or in play)"
Evolved Misty Knight,1,2,"When you end a turn with unspent Energy, give another friendly card +1 Power."
Evolved Shocker,2,3,On Reveal: Give the leftmost card in your hand -1 Cost.
Evolved The Thing,4,6,On Reveal: Afflict a random enemy card here with -1 Power. Repeat this twice more.
Evolved Wasp,0,1,On Reveal: Afflict a random enemy card here with -1 Power.
Falcon,2,3,On Reveal: Return your one-cost cards to your hand.
Forge,2,1,On Reveal: Give the next card you play +2 Power.
Galactus,6,7,"On Reveal: If you’re winning this location and this is your only card here, destroy all other locations."
Gambit,3,3,Discards a card from your hand. Destroy a random enemy card.
Gamora,5,7,"On Reveal: If your opponent played a card here this turn, +5 Power."
Ghost,1,2,Ongoing: Your cards are always revealed last. (Their On Reveal abilities happen last.)
Ghost Rider,4,3,On Reveal: Bring back one of your discarded cards (to this location).
Ghost-Spider,1,2,On Reveal: The last card you played moves here.
Giganto,6,14,You can only play this at the left location.
Goose,2,2,"Ongoing: Nobody can play four, five, or six-cost cards at this location."
Green Goblin,3,-3,On Reveal: Your opponent gains control of this.
Groot,3,4,"On Reveal: If your opponent played a card here this turn, +2 Power."
Hawkeye,1,1,"On Reveal: If you play a card here next turn, +3 Power."
Hazmat,2,2,On Reveal: Give all other cards -1 Power.
Heimdall,6,8,On Reveal: Move your other cards one location to the left.
Hela,6,6,On Reveal: Resurrect all cards you discarded from your hand to random locations.
